date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2007-05-14,-70.13,-47.32,-109.59111,3.88713,18.36,13.96
2007-05-15,117.39,24.72,73.18728,21.01436,19.04,14.01
2007-05-16,132.48,-9.3,12.05338,-75.32484,18.26,13.5
2007-05-17,-89.74,-14.93,-195.11713,88.0436,17.12,13.51
2007-05-18,-4.42,-45.31,-23.1191,0.20442,17.12,12.76
2007-05-21,182.39,2.86,382.55858,-193.24441,17.11,13.3
2007-05-22,-533.45,-163.21,-517.13935,465.96332,16.93,13.06
2007-05-23,-35.37,-74.22,-34.83779,83.27647,17.69,13.24
2007-05-25,-40.69,-16.06,6.60576,-133.59682,17.96,13.34
2007-05-28,-136.92,-64.69,-115.88861,-6.82678,17.36,13.34
2007-05-29,-266.28,-45.06,-171.52987,125.4562,18.36,13.53
2007-05-30,-329.4,-107.19,-242.82121,31.96046,18.62,12.83
2007-05-31,148.63,149.4,261.93173,-25.03905,18.59,13.05
2007-06-01,89.81,-133.04,117.7989,9.2454,20.14,12.78
2007-06-04,-283.12,-62.46,-254.64983,194.05527,21.63,13.29
2007-06-05,-119.86,-78.07,1.26603,-44.45768,21.26,13.63
2007-06-07,61.47,62.19,148.04284,-370.90822,21.07,17.06
2007-06-08,-43.51,120.34,226.93344,-438.57087,21.16,14.84
2007-06-11,-318.52,-129.29,-72.71723,-96.96421,20.69,14.71
2007-06-12,-54.07,35.56,390.3323,-301.95868,19.98,16.67
2007-06-13,71.88,-107.81,224.0175,-316.01079,19.7,14.73
2007-06-14,737.04,-124.78,925.58894,-461.21311,20.12,13.64
2007-06-15,-195.6,-79.29,-183.06484,77.81464,19.25,13.94
2007-06-18,141.58,-96.16,222.39932,-350.76143,18.96,13.42
2007-06-19,-351.04,21.36,-209.66901,-185.948,20.03,12.85
2007-06-20,-73.6,114.09,217.75896,-318.92587,21.39,14.67
2007-06-21,470.1,-12.7,-20.63388,99.71014,20.81,14.21
2007-06-22,-190.26,9.65,-25.46929,-116.66423,21.84,15.75
2007-06-25,86.81,63.47,447.67286,-232.21495,21.9,16.65
2007-06-26,130.05,112.42,289.22874,-322.67821,20.72,18.89
2007-06-27,-272.15,106.81,73.94159,-165.73762,20.79,15.53
2007-06-28,-158.17,-129.96,78.68732,-85.53748,20.34,15.54
2007-06-29,127.4,-230.35,320.16438,-108.32702,19.95,16.23
2007-07-02,-11.11,-60.46,233.05602,-101.51152,19.57,15.4
2007-07-03,-99.63,-45.86,157.76625,67.57624,19.71,14.92
2007-07-04,-204.65,55.38,-22.72852,52.00935,20.04,14.92
2007-07-05,2.45,6.29,55.0325,172.93531,21.05,15.48
2007-07-06,-33.66,-82.16,28.4236,-27.33924,20.51,14.72
2007-07-09,-173.75,-37.8,-123.71119,99.11859,21.42,15.16
2007-07-10,-99.96,58.99,-35.08263,-79.32416,22.47,17.57
2007-07-11,40.67,102.68,7.94386,-193.45516,23.39,16.64
2007-07-12,-170.54,-73.83,-82.31403,86.41453,23.37,15.54
2007-07-13,141.78,1.7,502.45458,-95.38524,27.8,15.15
2007-07-16,218.45,186.28,525.21272,-637.58824,25.37,15.59
2007-07-18,-99.19,-29.55,152.4453,-592.07396,25.09,16
2007-07-19,380.39,18.75,381.83295,-449.59095,23.86,15.23
2007-07-20,-65.37,65.38,290.12567,-76.24727,22.76,16.95
2007-07-23,-61.33,117.79,129.93214,-274.34565,23.34,16.81
2007-07-24,-91.64,337.09,51.0203,-58.40415,23.42,18.55
2007-07-25,171.67,123.7,367.30217,-665.61188,24.12,18.1
2007-07-26,-95.4,78.73,117.86441,-516.80569,25.1,20.74
2007-07-27,-347.66,247.18,128.71299,-842.54611,26.78,24.17
2007-07-30,72.85,296.43,494.95184,-566.85566,28.73,20.87
2007-07-31,-345.67,320.73,-4.03406,-133.15436,27.71,23.52
